GlobalTimeMS,LocalTimeMS,realTimePosi_um,realTimeTorque_1000p
448,6010,8775055,
437,6011,8775055,
441,6012,8775055,
442,6013,8775055,
443,6015,8775055,
452,6016,8775055,
452,6016,8775055,
453,6017,8775055,
452,6018,8775056,
456,6019,8775055,
457,6020,8775055,
456,6021,8775055,
457,6022,8775055,
461,6023,8775055,
462,6024,8775055,
462,6025,8775055,
472,6027,8775056,
472,6027,8775055,
473,6028,8775055,
472,6029,8775055,
472,6029,8775055,
473,6030,8775055,
477,6031,8775055,
477,6031,8775055,
477,6033,8775055,
478,6034,8775055,
482,6035,8775055,
482,6035,8775055,
483,6036,8775055,
482,6037,8775055,
482,6037,8775056,
491,6038,8775055,
491,6040,8775055,
492,6041,8775056,
492,6041,8775055,
497,6043,8775056,
2,6045,8775056,
7,6046,8775056,
7,6046,8775056,
8,6047,8775055,
7,6048,8775056,
7,6048,8775055,
11,6049,8775056,
12,6050,8775056,
12,6050,8775056,
12,6052,8775055,
22,6053,8775056,
23,6054,8775056,
22,6055,8775056,
22,6055,8775056,
23,6056,8775055,
27,6057,8775056,
28,6058,8775056,
27,6059,8775056,
27,6059,8775056,
32,6061,8775056,
32,6062,8775056,
32,6062,8775056,
42,6064,8775055,
43,6065,8775056,
47,6066,8775055,
52,6068,8775056,
52,6068,8775056,
51,6069,8775056,
52,6070,8775056,
57,6071,8775055,
57,6073,8775055,
57,6073,8775056,
58,6074,8775056,
62,6075,8775056,
62,6075,8775055,
62,6077,8775056,
66,6078,8775055,
67,6079,8775055,
67,6079,8775056,
71,6080,8775055,
72,6081,8775056,
72,6081,8775056,
76,6082,8775055,
76,6084,8775055,
77,6085,8775055,
82,6086,8775055,
82,6086,8775055,
87,6088,8775055,
87,6088,8775055,
88,6089,8775055,
87,6090,8775055,
87,6090,8775055,
88,6091,8775055,
92,6092,8775055,
93,6093,8775055,
92,6094,8775055,
93,6095,8775055,
102,6096,8775055,
102,6096,8775055,
103,6097,8775055,
107,6098,8775055,
107,6098,8775055,
106,6099,8775055,
107,6100,8775055,
1757454528,0,1757454528,
107,6100,8775055,
111,6101,8775055,
112,6102,8775055,
112,6102,8775055,
111,6103,8775055,
112,6104,8775056,
112,6104,8775055,
116,6105,8775056,
117,6106,8775055,
121,6107,8775055,
122,6108,8775055,
127,6109,8775055,
127,6109,8775055,
128,6110,8775055,
127,6111,8775055,
127,6111,8775055,
142,6113,8775055,
142,6113,8775055,
143,6114,8775056,
142,6115,8775055,
146,6116,8775055,
147,6117,8775055,
147,6117,8775055,
